GROUP,YEAR,Q1_1,Q1_2,Q2K2_1,Q2K2_2,Q3,Q4B_1_1,Q4B_2_1,Q4C_1,Q4C_2,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q10,Q11_1,Q11_2,Q11_3,Q12A_1,Q12A_2,Q12A_3,Q12A_4,Q12B_1,Q12B_2,Q12B_3,Q12B_4,Q13A_1,Q13A_2,Q13A_3,Q13A_4,Q13A_5,Q13B_1,Q13B_2,Q13B_3,Q13B_4,Q13B_5,Q14A_1,Q14A_2,Q14A_3,Q14A_4,Q14A_5,Q14B_1,Q14B_2,Q14B_3,Q14B_4,Q14B_5,Q15A_1,Q15A_2,Q15B_1,Q15B_2,Q16A_1,Q16A_2,Q16B_1,Q16B_2,Q17A_1,Q17A_2,Q17A_3,Q17A_4,Q17B_1,Q17B_2,Q17B_3,Q17B_4,Q18A_1,Q18A_2,Q18A_3,Q18A_4,Q18B_1,Q18B_2,Q18B_3,Q18B_4,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9,Q20_10,Q21_1,Q21_2,Q21_3,Q21_4,Q22_1,Q22_2,Q22_3,Q22_4,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q23_8,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q25,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_8,Q26_9,Q26_10,Q26_11,Q26_12,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q29_9,Q29_10,Q30,Q31_1,Q31_2,Q31_3,Q31_4,AI_인지,AI_사용빈도,AI_도움정도,연령,성별,직업,학력,가구구성형태,가구소득,거주지역
일반국민,2024,1.0,1.0,1.0,1.0,1.0,1,1,2.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,1.0,15.0,30.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,0,0,0,0,0,0,0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,0,1,1,0,8,28,28.0,44.0,2.0,11.0,4.0,2.0,7.0,5.0
일반국민,2024,2.0,2.0,1.0,1.0,1.0,0,0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,1.0,28.0,30.0,5.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,1.0,2.0,2.0,4.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,0,0,0,0,0,0,0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,0,0,0,1,8,21,29.0,38.0,1.0,3.0,4.0,2.0,5.0,13.0
장애인,2024,1.0,2.0,2.0,2.0,1.0,1,1,4.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,30.0,0.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0,1,1,1,0,1,0,0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,1,1,0,0,3,4,17.0,38.0,1.0,14.0,3.0,2.0,4.0,4.0
농어민,2024,2.0,2.0,2.0,2.0,1.0,0,0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,20.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1,0,0,0,0,0,9.0,56.0,2.0,6.0,3.0,2.0,3.0,9.0
고령층,2025,1.0,2.0,2.0,2.0,1.0,0,0,4.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,0,1,0,0,0,0,0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,1,0,0,0,8,8,10.0,3.0,2.0,11.0,1.0,2.0,2.0,5.0
일반국민,2024,1.0,2.0,2.0,2.0,1.0,1,1,3.0,3.0,2.0,4.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,4.0,4.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,0.0,28.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0,0,1,1,0,0,0,3.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,1,0,0,0,2,2,12.0,66.0,2.0,11.0,3.0,2.0,6.0,11.0
일반국민,2025,2.0,2.0,1.0,1.0,1.0,1,1,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,1.0,30.0,30.0,20.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,1.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,0,0,0,0,0,0,0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,0,0,0,1,5,14,26.0,2.0,1.0,4.0,4.0,3.0,4.0,12.0
일반국민,2025,1.0,2.0,2.0,1.0,1.0,0,0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,1.0,10.0,30.0,0.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,1.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,0,0,0,0,0,0,0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,0,0,0,1,8,24,27.0,2.0,1.0,8.0,4.0,2.0,8.0,14.0
장애인,2024,2.0,2.0,2.0,2.0,1.0,0,0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,30.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0,1,1,0,0,0,0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,1,1,0,0,1,1,20.0,53.0,2.0,11.0,3.0,2.0,4.0,15.0
고령층,2025,2.0,2.0,2.0,2.0,1.0,0,0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,0.0,30.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1,1,0,1,0,0,0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,1,0,0,0,6,6,23.0,2.0,2.0,6.0,2.0,1.0,2.0,15.0
장애인,2024,2.0,2.0,2.0,2.0,1.0,0,0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,0.0,28.0,0.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,0,1,1,1,0,0,0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,1,1,0,0,2,2,17.0,41.0,1.0,9.0,4.0,2.0,4.0,15.0
일반국민,2025,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,20.0,30.0,20.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,0,0,0,0,0,0,0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,1,1,0,0,3,6,29.0,5.0,1.0,5.0,3.0,2.0,11.0,5.0
일반국민,2025,2.0,2.0,2.0,2.0,1.0,0,0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,0.0,30.0,0.0,4.0,2.0,3.0,1.0,4.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,0,0,0,0,0,0,0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,0,1,0,0,6,11,20.0,4.0,2.0,9.0,3.0,2.0,3.0,16.0
일반국민,2025,2.0,2.0,1.0,1.0,1.0,0,0,4.0,4.0,2.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,1.0,0.0,30.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,0,0,0,0,0,0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,0,1,0,0,4,8,13.0,3.0,2.0,6.0,4.0,2.0,7.0,17.0
고령층,2025,1.0,1.0,1.0,1.0,1.0,1,1,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,1.0,5.0,30.0,5.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,0,0,0,0,0,0,0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,1,0,0,0,3,9,27.0,2.0,1.0,5.0,4.0,2.0,6.0,9.0
저소득층,2024,1.0,1.0,1.0,1.0,1.0,1,1,2.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,12.0,30.0,30.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,0,0,0,0,0,0,0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,0,1,1,1,8,10,24.0,18.0,1.0,12.0,2.0,2.0,3.0,1.0
일반국민,2025,2.0,1.0,1.0,1.0,1.0,0,0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,30.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0,0,1,0,1,4,24.0,4.0,1.0,4.0,4.0,1.0,4.0,11.0
일반국민,2024,1.0,2.0,2.0,2.0,1.0,1,0,3.0,2.0,3.0,2.0,1.0,4.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,1.0,25.0,30.0,0.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,1.0,2.0,1.0,3.0,4.0,1.0,2.0,1.0,4.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,4.0,1.0,4.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,0,0,0,0,0,0,0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,0,1,0,0,4,11,14.0,45.0,1.0,5.0,3.0,2.0,8.0,2.0
